name;age;country;building_code;phone;address
Rozele;23;British Indian Ocean Territory;269;3478186939;Quezon City
Nollie;49;Kyrgyzstan;116;9644206721;Vladivostok
Britni;56;Macao;668;9662750125;Warsaw
Gianina;41;Gibraltar;927;3765971532;Gothenburg
Ardeen;26;Cook Islands;659;2661956418;Cusco
Nickie;8;Chad;42;8654367844;Gothenburg
Edyth;49;Ethiopia;339;2762869305;Taipei
Celene;36;Venezuela;177;9446244467;Shenzhen
Margalo;15;Costa Rica;698;1217956513;Aberdeen
Lita;1;Honduras;929;8466643401;Koror
Gale;5;Dominica;992;5093871750;Kyoto
Maud;52;Paraguay;376;8729563212;Xi'an
Gui;48;Canada;278;6987105719;Colombo
Karly;59;Fiji;814;0575767091;Brazzaville
Joceline;29;Bolivia;27;9117002116;Havana
Ursulina;14;Aruba;269;1158872966;Vancouver
Jere;52;Kenya;205;6126162957;Kolkata
Teriann;58;Cambodia;16;4467031949;Tartu
Darlleen;25;Guinea-Bissau;556;6173304006;Fortaleza
Cristabel;44;Bangladesh;886;1612364502;Hamburg
Hallie;55;United Arab Emirates;812;8523428952;Melekeok
Molli;28;Virgin Islands, British;90;4041544520;Adelaide
Robbi;59;French Polynesia;216;9492614122;Charlotte Amalie
Mildrid;55;Monaco;960;5497932808;Luanda
Dorene;28;French Guiana;230;0260225329;Podgorica
Felice;23;Madagascar;466;0666798494;Huế
Gwenneth;19;Dominica;881;5979163205;Islamabad
Minda;42;Saint Pierre and Miquelon;543;8270541745;Taichung
Sophia;42;Grenada;910;7519694058;Angra do Heroísmo
Sean;37;Sao Tome and Principe;281;2364505149;Luanda
Adele;42;Cocos (Keeling) Islands;857;0868279405;Alexandria
Theodora;20;Greenland;519;9978475193;Douglas
Gilda;19;Albania;588;3054968344;Apia
Alameda;54;Tokelau;139;1180433542;Podgorica
Arlina;27;Saint Helena;394;1925980162;Christchurch
Romona;4;Saint Pierre and Miquelon;134;8116530847;Chiang Mai
Lorenza;53;Mauritania;307;2493996714;Saipan
Ericka;9;Colombia;285;6802667302;Athens
Ekaterina;39;Serbia and Montenegro;818;0889369165;Kabul
Natka;29;Northern Mariana Islands;460;0364064084;Athens
Allyce;57;Peru;909;1368744849;Tucson
Darlleen;11;Gambia;841;5156248672;Sukhumi
Beverley;51;Burundi;738;4178280741;Cape Town
Elvira;31;France;589;6207112530;Maceió
Teddie;33;Guyana;290;9691081098;Kuching
Alleen;19;Finland;652;9048212556;Lisbon
Meg;46;Dominica;7;4563783431;Chongjin
Robinia;33;Venezuela;140;2288214873;Omsk
Bibby;10;Sao Tome and Principe;437;1408266511;Brazzaville
Tani;30;Gambia;501;8774273894;Agartala
Margette;22;Mexico;570;0936788688;Alofi
Catrina;31;Angola;118;3969143952;Port Vila
Sabina;59;Zambia;788;0130849039;Palembang
Flo;19;Micronesia, Federated States of;30;4781966402;Tegucigalpa
Nataline;22;Burkina Faso;597;7069981303;Kansas City
Julieta;49;Papua New Guinea;297;4146230270;Kuching
Lauryn;43;Cameroon;699;6157315319;Honolulu
Sindee;21;Argentina;437;3541134174;Berlin
Belva;4;Panama;518;0561111768;Palikir
Hermione;34;Singapore;795;3016768414;Tijuana
Vita;58;Ethiopia;868;7017188524;Houston
Tiffie;26;French Polynesia;426;0254771704;Valdivia
Rivalee;51;Guam;975;0081989167;Pretoria
Ada;50;Turkmenistan;900;8364295891;Willemstad
Melisent;3;Iraq;496;9485493399;Atlanta
Lolita;30;Sweden;991;2636004425;Guatemala City
Meghann;15;Djibouti;990;1788252973;Murmansk
Tina;11;Argentina;114;9323382411;Leipzig
Linzy;31;Jamaica;371;2692988485;Regina
Rayna;57;Botswana;816;6493789827;Tskhinvali
Kellen;25;Korea, Republic of;645;9926232485;Abidjan
Lita;16;Gibraltar;681;2493812317;Djibouti (city)
Nelle;40;Honduras;585;0111137898;Horta (Azores)
Misha;30;Guatemala;768;4297031510;Tiraspol
Celene;7;Thailand;277;4786174106;Maceió
Silvana;47;Bulgaria;163;7508002413;Vitória
Lily;32;China;328;8000706944;Rio Branco
Korrie;28;Portugal;157;7458762123;Nouakchott
Gerianna;25;RWANDA;49;6615321692;Mogadishu
Maud;56;Guatemala;60;0944756111;Valencia
Kaja;17;Somalia;504;8427162824;Suez
Stephanie;44;Iraq;405;3604229736;Chittagong
Althea;41;Jersey;511;3821366568;Raleigh
Kittie;53;Malawi;63;3733338063;Harare
Elie;45;Japan;296;5899510806;Cairo
Tabbatha;57;Egypt;622;9855342268;Medellín
Nataline;2;Qatar;964;6567681103;Serekunda
Ekaterina;2;Cuba;38;2441314400;Adelaide
Felice;25;Chad;14;3805124865;Albuquerque
Sheree;56;Tonga;64;8469987490;Moscow
Halette;22;French Polynesia;399;7234066365;Kuwait City
Carly;50;Tonga;187;7421490404;Tel Aviv
Jordan;10;Martinique;287;0601915702;Puebla
Rosanne;11;Korea, Republic of;85;0515358075;Espoo
Annora;48;Heard Island and Mcdonald Islands;13;7846071187;Bursa
Roseline;21;Reunion;509;2490967924;Damascus
Lorie;24;Saint Vincent and the Grenadines;177;7495412863;Pristina
Cyndie;59;San Marino;642;2547402466;Pattaya
Rosaline;50;Sao Tome and Principe;336;7127820416;Vancouver
Gusty;23;Singapore;93;0888716347;Banjul
