name;age;country;building_code;phone;address
Emmey;30;Uganda;632;1970114061;Belém
Sallie;41;Greece;409;9176497215;Sucre
Giustina;29;Comoros;744;2912417744;San Francisco
Mallory;50;Congo;201;8910582595;Sri Jayawardenapura-Kotte
Evita;50;Netherlands Antilles;534;9809983815;Kuwait City
Melisent;4;Guinea;381;9547634827;Townsville
Valera;55;Albania;916;2669686470;Gold Coast
Sonni;30;Dominican Republic;80;3978505546;Kunming
Zia;9;Chile;556;1314040405;Minsk
Jasmina;31;Isle of Man;835;5847830924;Ahmedabad
Suzette;29;Virgin Islands, U.S.;255;2439079453;Helsinki
Dania;40;Tunisia;654;7764074909;Budapest
Yolane;48;Uzbekistan;36;5617684568;Busan
Ottilie;20;Saint Pierre and Miquelon;340;7806166406;Bratsk
Tera;34;Puerto Rico;725;9132441956;Warsaw
Clo;37;Bolivia;502;9799959896;Shijiazhuang
Wendi;15;Virgin Islands, U.S.;349;3854926180;Cotonou
Nadine;51;Uruguay;318;1733646261;Washington
Asia;2;Maldives;509;7743012880;Malang
Nannie;55;Israel;260;2104595690;Baku
Eve;60;Papua New Guinea;718;1069500792;Santa Cruz de la Sierra
Elie;51;Austria;624;9024541067;Brisbane
Liana;55;Fiji;342;5954782573;Malang
Viki;56;Germany;947;1824910045;Mwanza
Tori;55;Angola;357;2230438277;Zanzibar City
Sara-Ann;54;Nigeria;220;5194799986;Santiago
Sam;10;Kiribati;703;3638793140;Chittagong
Tonia;15;United States;107;0093770668;La Paz
Queenie;40;Saint Kitts and Nevis;266;0059201554;Kolkata
Keelia;30;French Guiana;584;3842711178;Malé
Shell;15;Austria;305;4018785509;Cali
Mildrid;26;Saint Helena;394;2709270200;Chişinău
Kaia;38;Brazil;132;1730628043;Dili
Corly;23;Romania;232;5901888879;Jamestown
Leeanne;56;Netherlands Antilles;876;6633566721;Paris
Deloria;50;Trinidad and Tobago;336;8552712646;Anchorage
Augustine;29;French Guiana;903;9780118237;Antwerp
Camile;45;Timor-Leste;777;4707263142;Aberdeen
Ruthe;24;Nigeria;41;0250572627;City of San Marino
Demetris;21;Cambodia;387;0289369711;Lagos
Anallese;45;AndorrA;802;2821873251;Pittsburgh
Annaliese;36;Guatemala;767;3549931150;Gothenburg
Frieda;46;Timor-Leste;46;5092548692;El Paso
Augustine;26;Congo, The Democratic Republic of the;454;8094213613;Magadan
Aimil;33;Liechtenstein;660;7514392543;Mwanza
Janenna;49;Guatemala;166;2697155077;Geelong
Fred;57;Norfolk Island;826;2020701320;Liverpool
Cecile;37;French Polynesia;180;5289126557;Beijing
Felice;18;Suriname;247;0171660796;Bangalore
Ofilia;15;Norfolk Island;246;8521033284;Pretoria
Nikki;11;Estonia;914;8875659413;Split (city)
Catharine;56;Viet Nam;993;9782940398;Shillong
Lorenza;49;Lesotho;825;2854018456;Oranjestad
Maye;40;Ecuador;544;4523064898;Mbabane
Celestyna;51;Central African Republic;103;8034947729;Wichita
Cyb;2;Slovakia;17;7192873106;Davao City
Sissy;59;Spain;76;2008611792;Kuwait City
Daphne;30;Belgium;40;5133325730;Chiang Mai
Katleen;30;United States Minor Outlying Islands;546;0505296556;Nizhny Novgorod
Charissa;31;Papua New Guinea;332;8350428826;Harbin
Hallie;50;Lithuania;629;0965128953;Stanley
Nikki;58;Bermuda;243;1748162742;Colombo
Jorry;44;Tanzania, United Republic of;775;8355244064;Niamey
Betta;11;Guam;478;9041090249;Koror
Rosaline;28;Malawi;782;0439963257;Nashville
Britte;14;Viet Nam;230;8417177732;Kingston
Gale;57;South Africa;496;6575296145;Quezon City
Tabbatha;33;Norway;812;3990429847;Gaza
Belinda;13;Tonga;285;2430444339;Kandy
Concettina;1;Venezuela;492;9684756317;Lucknow
Gusella;6;United Arab Emirates;95;9537176252;Ludhiana
Suzette;60;French Polynesia;871;2880431655;Faisalabad
Annice;38;Equatorial Guinea;6;3947250412;Washington
Brietta;38;Hungary;810;2283986156;Yekaterinburg
Liana;35;France;291;3070573337;Ibiza
Carly;7;Germany;817;9569455917;Niamey
Adore;11;Guyana;32;4686430212;Nassau
Beverley;48;Saint Kitts and Nevis;364;2112388017;Assis
Codie;13;Togo;825;8410725165;Vitória
Valli;59;Saint Kitts and Nevis;330;5381486349;Blantyre
Priscilla;44;Bermuda;133;9335452769;Raleigh
Bee;32;Montserrat;303;6273943079;San Diego
Rori;28;Guinea;875;4907180305;Dili
Vivia;41;Bhutan;380;1845442070;Manila
Shell;57;Cook Islands;973;2553985460;Calgary
Agnese;16;Bulgaria;11;1557676739;Nairobi
Jacenta;45;Bermuda;894;3526003507;Sana'a
Max;2;Singapore;159;2059578681;Saint-Denis
Bee;8;Northern Mariana Islands;214;5609165597;Assis
Micheline;9;Congo;648;9655825264;Chicago
Jacquetta;23;Jersey;961;0871944360;Banjul
Sandie;45;Botswana;963;6875605123;Jayapura
Carolina;5;"Korea, Democratic People""S Republic of";223;9781031280;Jayapura
Patricia;23;Switzerland;706;1774344944;Xining
Winny;10;Belarus;159;4526608727;Dibrugarh
Myrtice;39;Albania;271;0707199204;Durango
Jolyn;36;Denmark;94;0590477092;Austin
Imojean;30;Suriname;875;9518026305;Port Vila
Mallory;9;Faroe Islands;586;8443056408;Malacca Town
Kaia;10;Argentina;794;8259475898;Gaziantep
