name;age;country;building_code;phone;address
Philis;18;Tanzania, United Republic of;226;+01 121　604 3827;Malacca Town
Raquela;42;Cyprus;630;+01 687.245 7318;Mamoudzou
Hayley;43;Kyrgyzstan;371;+1 (174) 151　9177;Toulouse
Aigneis;49;Pitcairn;754;+01　(837)563 5115;Surat Thani
Elyssa;22;French Polynesia;468;+01　(642.250 1564;Belém
Fayre;25;Bolivia;547;+01 144)	438.7324;Whitehorse
Letizia;54;Morocco;854;(402)᠎908	7885;Yekaterinburg
Aurore;41;Norway;600;006 007 8998;Munich
Bettine;17;Serbia and Montenegro;888;(752) 105 6799;Libreville
Margette;26;Togo;778;(819) 405 2883;Cockburn Town
Madeleine;27;India;725;(612) 814 5405;Fukuoka
Tierney;24;Colombia;519;706) 616-5712;St. John's
Aurelie;4;Virgin Islands, U.S.;517;576) 176 4732;Recife
Tressa;38;"Korea, Democratic People""S Republic of";821;"+1 (152﻿854 1227";Dededo
Oona;16;AndorrA;838;(767 564 4915;Lima
Bernardine;16;Pitcairn;252;+01 (739 360 1017;Abidjan
Babita;51;Portugal;983;978-7265262;Guayaquil
Georgetta;42;Anguilla;496;998) 240	7908;Marseille
Oralee;58;Romania;833;(159 4696560;Medellín
Amii;58;Gibraltar;621;(787 975 6472;Osaka
Modestia;50;Bulgaria;862;+01 (033) 996 8061;Beijing
Karly;60;Romania;169;+01 (993᠎349	1281;New York City
Rochette;53;Guinea;263;354) 286 3355;Jamestown
Reeba;51;Swaziland;5;881) 729 5966;Abuja
Fayre;25;South Georgia and the South Sandwich Islands;150;810)044 4598;Hamburg
Josephine;48;Svalbard and Jan Mayen;310;(248)　610 1875;Christchurch
Kristan;53;"Cote D""Ivoire";70;(609 472	1387;Namangan
Rori;10;Bouvet Island;48;9589280158;Khartoum
Ilse;32;Yemen;168;"+01 (929).6725416";Ipoh
Carmela;55;Belarus;822;842) 606 0779;Cockburn Town
Jaime;50;Monaco;740;+01(780)-807　2301;Chuí
Darci;3;Armenia;862;(576 992　6717;Sacramento
Pollyanna;14;Angola;997;"+1 741﻿945 5330";Charlotte
Frances;45;Djibouti;890;"+01﻿(675 331 7133";Cebu City
Berget;12;Fiji;727;(744)　2158430;Tamale
Adore;14;Ghana;938;+01 682)　515 8739;Fukuoka
Carmela;35;Saint Lucia;750;(372) 653 8055;Minsk
Lila;12;India;314;937) 392 6948;N'Djamena
Alameda;13;Gibraltar;232;+1 408) 995 4875;Zamboanga City
Pearline;37;South Africa;226;+01 (390) 718 1299;Anadyr (town)
Sindee;11;Malawi;592;(410) 038 0092;Beirut
Stephanie;51;Kyrgyzstan;980;"(219﻿568᠎8491";Saint-Pierre
Emmey;38;South Georgia and the South Sandwich Islands;715;+01(504).095 8936;Siem Reap
Alia;54;Swaziland;904;+1 294) 614 9593;Sydney
Jean;4;Hungary;558;+01 666)-034 4071;Vancouver
Aubrie;15;New Caledonia;497;113-693 0432;Hanover
Florie;15;Timor-Leste;236;"+1᠎141﻿468 5372";Charlottetown
Jenilee;6;Mongolia;521;"(530 288
5348";Serekunda
Karolina;10;Tuvalu;984;"(544﻿764 8343";Lahore
Carolina;9;Niue;617;+01 873)　941 9780;Jakarta
Fanchon;31;Montserrat;53;"+01(586	689 8897";Kingston
Meg;43;Ghana;67;"+01﻿715) 944 6800";San Diego
Kimberley;52;Åland Islands;478;(701) 344 1568;Batticaloa
Rosaline;4;Hong Kong;729;+01 803	755 2224;Bamako
Aurore;5;Angola;644;628 020 3276;Lomé
Elbertina;22;Gibraltar;888;"(109703 2585";Port-au-Prince
Olivette;40;Greece;527;+1 484).564 6981;Jerusalem
Allyce;43;Cape Verde;898;"+01671 814　5091";Chişinău
Betta;4;Somalia;123;+1 295) 762 4690;Hamburg
Iseabal;32;Macao;481;(123346 5879;Warsaw
Collen;8;Cambodia;371;"+01 992)
462 2115";Bamako
Dotty;45;Bolivia;954;755 625 7567;Dresden
Sashenka;39;Gibraltar;203;+1 (205) 458 4555;Johannesburg
Charissa;60;Palestinian Territory, Occupied;102;884) 938 2100;Chihuahua
Alyda;49;El Salvador;809;(181) 013 1537;Agartala
Dyann;42;Reunion;346;+01	304) 265 8027;Graz
Tiffie;32;Iran, Islamic Republic Of;341;(050)-653 9671;Lisbon
Paola;29;Åland Islands;682;+1 (876) 057.4393;Sana'a
Dania;46;Austria;990;+01 518) 4084342;Rome
Amii;54;Mauritania;688;+01 (916 929 3770;Ürümqi
Alejandra;14;Uruguay;715;+01 (085 461　8887;Jacksonville
Ivett;52;Sao Tome and Principe;582;+1 (986227 6478;Dallas
Joane;43;Niue;719;687) 224 3578;Vientiane
Linzy;51;Serbia and Montenegro;875;"+01 182　5146886";Algiers
Edee;50;Angola;799;"(158) 6883751";Dongguan
Eve;21;Hungary;323;474563 0900;Blantyre
Viviene;40;Paraguay;807;+1(249) 795 8894;Port Vila
Celene;28;Dominican Republic;752;(724732　1145;Kuwait City
Phedra;30;Trinidad and Tobago;665;+01 (412) 658 7628;Guangzhou
Netty;50;Uganda;503;"+01 030)	557﻿1522";Castries
Jaclyn;29;Cook Islands;365;(742 727 0180;Kuala Lumpur
Kenna;16;Hong Kong;413;(629) 702 4429;Port Moresby
Flory;10;Macao;460;(338)-606 5776;Panama City
Ashlee;16;Nauru;328;"213 586﻿8668";Samara
Steffane;35;Tuvalu;735;+1 941 431	7157;Omdurman
Kylynn;41;Liberia;412;596 380 3306;Hat Yai
Lila;19;Argentina;812;177 325 6001;Dubai
Flory;29;Eritrea;25;620) 203-7043;Francistown
Calla;17;Burkina Faso;726;412491 4621;Pago Pago
Tilly;3;Belgium;566;"+01(250	0927337";Damascus
Stacey;17;Micronesia, Federated States of;879;+1 320) 856.2464;Sarajevo
Arabel;41;San Marino;368;(514 039 8250;Madrid
Selia;21;Norfolk Island;532;"+1 (570)
609 6159";Huế
Esmeralda;17;Kyrgyzstan;88;"+01622) 843 5747";Punta Arenas
Chandra;35;Lithuania;849;+1 (364)153 5185;Koror
Ofilia;18;Niger;121;823᠎971 3262;Nakhon Ratchasima
Jean;9;Sri Lanka;417;+1 (655).763 3550;Handan
Rochette;8;Saint Kitts and Nevis;676;+01 963) 744 4417;Simferopol
Meg;56;Trinidad and Tobago;689;746) 152 2885;Oslo
Corly;21;Nigeria;60;754 634 5981;Ambon
