name;age;country;building_code;phone;address
Tobe;52;Brazil;862;9428918605;Port Elizabeth
Dagmar;23;Comoros;425;1843340862;Puebla
Drucie;28;Djibouti;429;7811333535;Paramaribo
Jaclyn;20;Swaziland;84;4455717659;Belfast
Darci;43;Australia;316;9545460337;Porto
Evaleen;17;Montserrat;622;5049186886;Nanning
Amalie;55;Tuvalu;994;1145175179;Durban
Sonni;23;France;902;0235871583;Cartagena
Margarette;26;Finland;307;6232986800;Adamstown
Dorice;39;Guadeloupe;859;3890586659;Memphis
Madelle;19;Equatorial Guinea;693;8944218561;Houston
Dyann;28;Iceland;131;8000487947;Hong Kong
Heddie;8;"Cote D""Ivoire";241;8198123478;Ottawa
Cassandra;30;Taiwan, Province of China;758;4893069021;Santiago de Cuba
Halette;41;Uzbekistan;810;4994116185;Karachi
Viviene;47;Comoros;889;1013506434;Belize City
Arlena;17;Cambodia;379;4873803221;Iloilo City
Jemie;14;Poland;71;7995407382;Alofi
Konstance;16;New Caledonia;313;7836795954;Honolulu
Anica;42;San Marino;14;8865446781;Denpasar
Gilligan;12;Saudi Arabia;510;8479586778;Yekaterinburg
Ada;19;Bulgaria;505;4745268289;Iquique
Fina;39;Belgium;728;3043068761;Brasília
Carree;45;Samoa;428;1137169531;Manzini
Tressa;60;Singapore;652;6646584801;Brasília
Roseline;42;Equatorial Guinea;370;4421126853;Edmonton
Modestia;35;Fiji;671;6080603224;Dongguan
Olivette;5;Lithuania;55;5554149181;Newcastle
Joleen;7;"Cote D""Ivoire";267;7957194438;Port Louis
Rivalee;35;Zimbabwe;19;7877617091;Shijiazhuang
Elsie;10;Georgia;864;7275234939;Tórshavn
Rebeca;56;Kyrgyzstan;901;2168044574;Hargeisa
Donnie;38;Anguilla;495;7291059718;Nukus
Jessamyn;15;Honduras;795;9730846961;Bujumbura
Emylee;8;Thailand;181;4315697004;Mogadishu
Regina;47;Hong Kong;722;9552450355;Charlotte Amalie
Briney;29;Guatemala;699;9508822445;Milwaukee
Paule;57;Ghana;215;2398361316;Guangzhou
Sam;22;Sierra Leone;706;6221066868;Busan
Cacilie;20;Saint Helena;796;1449882458;São José dos Campos
Dulcinea;39;Palestinian Territory, Occupied;995;9535178542;Pittsburgh
Joeann;11;Zimbabwe;83;7465454447;Los Angeles
Alleen;30;Sri Lanka;824;5869260046;Stanley
Marnia;20;Belgium;503;2177370694;Balikpapan
Ronna;9;Grenada;863;7499948253;Amsterdam
Elsie;13;Saint Kitts and Nevis;650;6218959413;Hagåtña
Bettine;27;Faroe Islands;340;3496182476;Hyderabad
Jsandye;57;Guinea;620;8119747721;Reykjavík
Sadie;10;Turks and Caicos Islands;74;5832131500;Dallas
Bernie;5;Virgin Islands, U.S.;716;4563772302;Luxor
Estell;11;Saint Pierre and Miquelon;263;2334058734;Warsaw
Gale;28;Iraq;496;7720071806;Valencia
Jenilee;59;Suriname;93;0175819712;Bandar Seri Begawan
Marleah;36;Panama;79;1873926749;Kigali
Nelle;43;Oman;702;0849983586;Dar es Salaam
Lizzie;26;Comoros;626;5965817029;Stockholm
Sybille;3;Niue;110;5577590398;Bratsk
Tabbatha;60;Nigeria;183;3620055638;Ibiza
Pollyanna;22;Ireland;220;3411069455;Brikama
Eadie;13;Benin;244;8173477637;Mwanza
Averyl;24;Mexico;346;3893081580;Udon Thani
Lulita;57;Australia;915;0950268112;Bilbao
Joeann;55;South Africa;564;1350392475;Funafuti
Alameda;18;Zambia;325;6947930032;Guatemala City
Verla;4;Lebanon;216;5160842598;Bogor
Michaelina;35;Brunei Darussalam;464;6070889969;Rawalpindi
Selma;31;Syrian Arab Republic;604;3168267311;Ho Chi Minh City
Celestyna;52;Tuvalu;687;3718561533;Bratislava
Wanda;14;Guinea;765;4210830839;Naypyidaw
Wendi;8;Montserrat;421;0339981064;Faisalabad
Clo;6;Finland;3;4580713589;Kingston
Kelly;13;Poland;819;3236256619;Bulawayo
Annecorinne;7;Bahrain;569;4854869405;Pontianak
Mureil;48;El Salvador;302;1984949293;Hanga Roa
Kial;34;Iceland;634;4212482829;Sitka
Regina;45;Jamaica;450;7186665243;Milwaukee
Vevay;56;Angola;285;0647162119;Milwaukee
Jordan;31;AndorrA;141;8164663959;Muscat
Lita;17;Malaysia;270;3821147098;Nantes
Merle;11;Ethiopia;713;2433518037;Johor Bahru
Marylou;10;Myanmar;822;7027468780;Hanoi
Krystle;16;Martinique;939;1854801919;Shanghai
Justinn;54;Moldova, Republic of;527;0324845601;Namangan
Alexine;21;Equatorial Guinea;542;7235338677;Mwanza
Dianemarie;7;Holy See (Vatican City State);31;9298495696;Busan
Agnese;16;Faroe Islands;214;5997585845;Nassau
Elise;24;Macao;617;2456188217;Edinburgh
Jaime;54;Niue;859;6223397772;Jersey City
Heddie;43;Sao Tome and Principe;813;3285057718;Yellowknife
Marti;3;Uruguay;917;6153401725;Belfast
Rhoda;47;Georgia;674;4477931820;Miri
Cyb;45;Fiji;810;7982810818;Nukus
Max;43;Ghana;13;1579712541;Assis
Britte;15;Central African Republic;828;8959288263;Saint-Denis
Therine;9;Luxembourg;909;1108367535;Tianjin
Genovera;14;Brazil;975;0127259462;Algiers
Benita;42;Georgia;908;3694798829;Miri
Emma;37;AndorrA;343;3428147123;Oklahoma City
Jany;8;Romania;432;4710350099;Road Town
Lacie;32;Timor-Leste;58;1660965117;Miami
