name;age;country;building_code;phone;address
Cam;39;Marshall Islands;836;(710) 273 9814;Raleigh
Pearline;59;Hungary;927;+01 (063) 477 0047;San Juan
Jeanna;3;Botswana;184;+01 (267)	501.6042;Ipoh
Zia;7;Czech Republic;605;"(984)-6619520";Cuiabá
Siana;34;Saint Helena;283;(526 067 8065;Hamburg
Emilia;41;Ireland;292;(453)᠎619　9765;Rosario
Dale;42;Estonia;164;"+1
(288) 310 0662";Lviv
Ivett;33;Netherlands Antilles;813;766) 691	7646;Manchester
Isa;34;Heard Island and Mcdonald Islands;43;(888.683　8218;Mérida
Darci;30;Sri Lanka;198;+1 (976) 797 9009;Charlotte
Atlanta;17;"Korea, Democratic People""S Republic of";649;+01 (266) 474 1026;Saint-Pierre
Esmeralda;33;Hong Kong;992;+01 (485᠎861 7768;Podgorica
Johna;22;Palestinian Territory, Occupied;491;664)-7997248;Praia
Hayley;49;Vanuatu;968;(951) 276 9464;Jayapura
Cassondra;9;Romania;829;+1᠎(142 914 2181;St. John's
Claudina;8;Guinea;475;+1 (340) 595.5503;Semarang
Shandie;2;Cocos (Keeling) Islands;443;(069)　468 7328;St. George's
Philis;49;Australia;952;509 965 0712;Jamestown
Babita;7;Brunei Darussalam;206;334) 286 9217;Hong Kong
Leanna;4;El Salvador;787;(468)545 5564;Colombo
Consuela;55;Iraq;649;+01711) 506 4523;Ljubljana
Amara;4;Netherlands;894;"563 430﻿7569";Puebla
Amii;58;"Korea, Democratic People""S Republic of";947;+01	455) 451-6550;Invercargill
Angela;14;Saint Kitts and Nevis;757;"+01 765) 189﻿2994";Francistown
Betta;39;Bhutan;841;"+1
416).403 1455";Kawasaki
Ira;50;Slovakia;216;364 874-3357;Providence
Elie;12;Moldova, Republic of;501;(513-540 9783;São José dos Campos
Ida;39;AndorrA;468;+01812).670 8002;St. John's
Jsandye;45;Armenia;115;+01 (537) 326 7565;Houston
Trudie;40;Jamaica;927;(291.780 4896;N'Djamena
Ofilia;15;Solomon Islands;527;744).978 7462;Ashgabat
Magdalena;34;Latvia;214;+1 183 491　4135;Lhasa
Joane;29;Fiji;965;"(684 1917353";Apia
Odessa;43;Lesotho;396;(722 611 5808;Nassau
Janis;60;Mali;759;241).403 1376;City of San Marino
Iseabal;21;French Guiana;498;023 723.9558;Belgrade
Gabriellia;16;Tonga;269;"+01 (421)﻿112 2585";St. Louis
Cristine;24;Croatia;532;+01 762) 507᠎4716;Chicago
Arabel;35;Brazil;60;+1 287) 379 6891;Nouméa
Vere;23;Colombia;740;(318 506 2170;Dublin
Sue;22;Mali;241;"167)
8241638";Okinawa
Jaclyn;20;Poland;940;+01 (098 2588247;Alor Star
Meg;37;Turkey;373;730-205　6587;Suva
Perry;49;Paraguay;123;877)　701 9541;Dhaka
Winny;15;Brazil;667;196) 641 3492;Port of Spain
Tressa;57;Finland;280;+1 (372 854 7501;Brazzaville
Meg;53;Thailand;247;"+01 (834) 6395633";Pelotas
Teddie;3;New Caledonia;924;"519﻿422 0529";Cannes
Brietta;2;Australia;224;263 070 0117;Thimphu
Harrietta;35;Saint Lucia;608;(945) 182 6527;Greenwich
Starla;41;French Southern Territories;491;+1 911) 994 7160;Denver
Audrie;28;Gibraltar;920;(713) 371 6007;Mecca
Lita;26;Western Sahara;949;+01 (633 323 6135;Hiroshima
Noelle;14;Latvia;568;+01 592213 0823;La Serena
Lynde;22;Samoa;638;"+1﻿431642 0588";Chaguanas
Randa;20;Saint Lucia;621;(876　553-0563;Veracruz
Ketti;9;Suriname;46;853 370 9938;Thimphu
Rosene;13;Saudi Arabia;297;(837-402 0462;Yogyakarta (city)
Juliane;5;Moldova, Republic of;903;739　004 5670;Rotterdam
Leeanne;57;Nigeria;444;492)6583303;Pelotas
Kellen;59;Croatia;825;+01 374) 752 1469;Mumbai
Ingrid;19;France;759;(908 038-6071;Aarhus
Rori;34;Panama;286;+01 069).689 5183;Jersey City
Katuscha;43;Peru;874;(320)᠎208 3663;Koror
Molli;19;Afghanistan;415;368).549 8242;Kaesong
Regina;57;Belgium;713;357 477.6240;Edinburgh
Blondelle;19;Dominican Republic;253;(946) 957	5476;Malang
Lesly;49;Comoros;1;+01 (465 478 7612;City of San Marino
Marti;12;Solomon Islands;907;275 130᠎9634;Phuket (city)
Allyce;18;Malaysia;75;346	057-1280;Liverpool
Ariela;23;Jersey;748;+01 (991 559 7936;Hat Yai
Elora;15;Venezuela;705;"(733) 184﻿4808";Invercargill
Bibby;40;Hong Kong;51;+1　(284 096 6995;Ürümqi
Modestia;48;Bhutan;48;869) 791 2291;Adak
Candi;57;Nepal;984;722)　743 0820;Port Said
Allis;36;Saint Vincent and the Grenadines;291;729 9930422;Phnom Penh
Verla;13;Madagascar;264;(694) 112 3343;Sapporo
Netty;29;Grenada;858;+1᠎203).194 4676;Magadan
Verla;21;Georgia;15;(935) 718 3718;Labasa
Kittie;45;Slovakia;521;+1 (277)1513678;Davao City
Arabel;35;Lesotho;266;"148
660
8614";Sapporo
Carolina;34;Guinea;17;788) 586 8760;Chiang Mai
Leontine;2;Turks and Caicos Islands;615;+01 066 581 6443;Makati City
Joy;54;Cameroon;798;497 447.1784;Incheon
Ellette;52;Cambodia;844;"+01﻿(965 134 6318";San Antonio
Emmey;21;Virgin Islands, British;970;"+01﻿(708﻿9193134";Thessaloniki
Misha;11;Guyana;474;+01 (988) 016 1470;Providence
Kary;35;Morocco;377;111) 372 0450;Milan
Joeann;39;Portugal;577;+1 109 018 9643;Thessaloniki
Yvonne;16;Sudan;377;(068 0297419;Kandahar
Helena;26;Armenia;953;240)269 4179;Whitehorse
Claudina;12;Gabon;786;"+1335)﻿332 7145";Quezon City
Caressa;47;Tokelau;351;+1	388 297 7370;Dushanbe
Stephanie;12;Brunei Darussalam;210;+1 138	742 7356;Santiago de Cuba
Georgina;16;Burundi;298;271 008-2788;Barcelona
Rosanne;37;Antigua and Barbuda;339;"+1(891463 8406";Skopje
Eolanda;7;Bermuda;973;"987﻿737 1983";Bratsk
Catrina;36;Monaco;245;"+01 598)
942 3543";Xi'an
Shaine;29;Ecuador;126;+01 909 8751251;Harbin
Chere;29;Japan;150;+1 (621 434 0219;İzmir
