name;age;country;building_code;phone;address
Kirbee;52;Romania;495;+1 (808) 209 5279;St. John's
Mahalia;23;New Zealand;690;569) 4832669;Bridgetown
Asia;3;Mongolia;16;"+01 672558 0448";Nantes
Perry;45;Denmark;894;+01 201) 927 3088;Balikpapan
Janenna;42;Belgium;516;+01(465) 087 5660;Manaus
Jaime;55;Ethiopia;435;(400) 680 2724;Mersin
Elyssa;56;Greenland;454;+01 582) 721-1745;Dresden
Alie;36;Croatia;808;816)	756　9467;Islamabad
Agnese;18;Czech Republic;712;+01 (522.189.3314;Abu Dhabi
Barbara;26;Marshall Islands;122;+1 (635) 331 4522;Shijiazhuang
Tilly;46;Virgin Islands, British;688;+1᠎(797) 976	1066;Tunis
Tamqrah;34;El Salvador;880;(431) 867 5531;Namangan
Jennica;27;India;522;(008)032 3152;Shigatse
Sophia;32;Micronesia, Federated States of;886;+01 757 085 9891;London
Karina;35;Congo;416;"+01 (770)﻿267 2804";Quito
Ermengarde;17;"Korea, Democratic People""S Republic of";76;+01 (508) 056　9361;Durban
Sybille;41;Uganda;431;+1(197 063.6389;Maseru
Aurelie;34;Zimbabwe;822;677) 397 5008;Budapest
Abbie;29;Syrian Arab Republic;353;+1 539).652 1589;Avarua
Kimmy;48;Turks and Caicos Islands;162;"982﻿603 5467";Albuquerque
Hyacinthe;41;Sri Lanka;321;182) 1798743;Makassar
Jobi;17;Guernsey;331;"+01﻿179) 350
8545";Riverside
Darlleen;47;Ghana;680;116	1808697;Fort-de-France
Wilma;16;Germany;539;(306) 271 1477;Jakarta
Angela;18;Viet Nam;6;(044 454 8326;Luanda
Daphne;23;Guam;508;501) 235 1284;Yangon
Anestassia;30;Togo;877;446	126 7938;Johor Bahru
Dominga;21;Guinea;336;+1022 388 0437;Tokyo
Sissy;5;Faroe Islands;641;"+1 (191)259 2356";Brazzaville
Michaelina;18;Saint Kitts and Nevis;705;"318134 1001";Hobart
Maud;12;Sri Lanka;790;+1 734 331 9974;Brisbane
Ginnie;26;"Lao People""S Democratic Republic";428;+1 (690) 780 7200;Darwin
Verla;8;Saint Lucia;584;"+01
(644) 473 2201";Cotonou
Fredericka;16;Guinea-Bissau;755;789.316 6443;Surat
Myriam;49;Tajikistan;329;+1508) 249 8045;Tijuana
Stephanie;1;Hong Kong;878;315 9509512;Baghdad
Micheline;16;Poland;821;"144) 0322913";Kunming
Desirae;53;Ecuador;677;"+01	(431 054
6840";Hanga Roa
Janenna;53;Seychelles;35;(916)-678 0284;Hilo
Lory;7;"Lao People""S Democratic Republic";111;(155) 049 3416;Saint-Pierre
Atlanta;49;Christmas Island;335;(475) 884.6476;Christchurch
Gilda;9;Madagascar;767;+1103.566 3037;Udon Thani
