name;age;country;building_code;phone;address
Madalyn;35;Turkmenistan;626;(348) 519 9963;Lviv
Maisey;14;Hong Kong;340;+1 915) 568 1602;Yogyakarta (city)
Cissiee;30;Madagascar;366;"+1(891 659 5740";Nanning
Ingrid;38;South Georgia and the South Sandwich Islands;433;953 544 1287;New Delhi
Gerrie;36;Holy See (Vatican City State);300;+01 (731 243.6852;Pattaya
Madalyn;17;Nepal;191;(852 963 3520;Houston
Althea;56;Mauritius;359;661) 657 9657;Dili
Louella;3;Swaziland;326;+1	(822.004 4065;Phnom Penh
Anallese;11;American Samoa;817;+01 (942 056 3229;Iqaluit
Jenda;2;Ecuador;959;(258) 148　7244;Fortaleza
Rosabelle;23;Bahamas;446;+01 (898) 577 4071;Nizhny Novgorod
Frieda;29;Qatar;384;627).594 4864;Tianjin
Carolina;22;Sudan;948;+01 158 202-2287;Split (city)
Linet;33;Seychelles;111;(738) 9588821;Milwaukee
Penelopa;18;Cameroon;91;(784 427 3153;Nassau
Daphne;55;New Zealand;575;"+01 196) 016﻿2899";San Juan
Noelle;2;Seychelles;977;+01 159) 002 9096;Geelong
Corly;15;Cuba;235;"305) 818﻿2392";Berlin
Evita;20;Cook Islands;235;(491) 388 6045;Tegucigalpa
Linzy;51;Pitcairn;568;"(914)
958-0218";San Salvador
Dianemarie;37;Svalbard and Jan Mayen;533;611) 358 3721;Espoo
Joceline;22;Uganda;624;+1 705) 109 4064;Damascus
Morganica;17;Cuba;178;+1 (163.158 0800;South Tarawa
Paule;48;United Kingdom;175;+1024.090	6191;Bratsk
Fernande;55;Solomon Islands;803;679)444 0915;São Paulo
Dale;39;Nepal;345;124 249 0447;Invercargill
Gratia;23;Tunisia;534;586).867	1036;Chuí
Calla;36;Åland Islands;167;+1 066 312 9050;Port Elizabeth
Beatriz;55;Belarus;908;+1　786430 5715;Bloemfontein
Reeba;30;Peru;623;"(120　5482224";Nanjing
Sue;9;Kiribati;306;"818)044 4322";Samara
Carly;21;Faroe Islands;995;+1 977) 179 5145;Detroit
Peri;52;Peru;895;(886 813 3238;Monrovia
Ottilie;44;Botswana;971;+1195 036-2152;Tegucigalpa
Priscilla;10;Serbia and Montenegro;466;(599) 062 7022;Fortaleza
Starla;26;Guam;58;217)-027-9720;Vaduz
Sue;52;Uganda;405;+1 663-053 7182;Yaoundé
Linet;54;Reunion;469;(377 848 0456;Podgorica
Laurene;56;Mongolia;618;(146) 366 1300;Nairobi
Ethel;1;Hungary;214;+01᠎020 201 8779;Charlotte
Elfreda;14;Malawi;287;531) 336 0451;Enugu
Rani;50;Greece;527;+1	732 707 4494;Praia
Kimmy;41;Luxembourg;209;"678 428
0057";Norilsk
Kate;44;Jersey;805;+1	588 337 4793;Townsville
Estell;5;Mali;429;"+01827) 093﻿7183";Hamburg
Paulita;5;Guinea-Bissau;756;020) 653 4447;Murmansk
Lexine;54;Netherlands Antilles;837;(084) 8919720;San Juan
Consuela;58;Palau;256;412) 902.6564;Weno
Damaris;36;Indonesia;593;+01	(105) 502 1098;Manaus
Nonnah;21;Seychelles;901;+1　(585 512 3427;Miri
Hannis;41;Viet Nam;708;"+1	359885﻿7038";Almaty
Lily;10;Mongolia;762;"+01᠎(704980 8799";Beirut
Sallie;59;Estonia;627;"+01﻿951	344 1765";Riga
Ernesta;30;Myanmar;251;035 273 6985;Louisville
Joleen;44;Russian Federation;186;+01 (641 088 3961;Helsinki
Cassandra;20;United States;813;(872) 651	9985;Lanzhou
Lonnie;5;Turkmenistan;298;"(805 160
4854";Da Nang
Fanchon;22;Guinea;332;"+01 963 319
7355";Monterrey
Janis;53;Central African Republic;840;+01(573 174 7558;Jacksonville
Jemie;50;Netherlands;932;+01 (803 007 5024;George Town
Eadie;18;Samoa;413;822 5751879;Oranjestad
Dennie;28;Botswana;223;+1 885) 583 3005;Valencia
Brietta;58;American Samoa;410;247) 639 4829;George Town
Constance;6;Martinique;87;"+1
528) 345 7984";Ulan Bator
Darlleen;35;Argentina;123;"775 1700993";Nuuk
Dorothy;23;China;571;"+01 006 759﻿5106";Bandung
Riannon;11;Qatar;650;+1 (975 810.4140;Minsk
Dennie;12;Luxembourg;790;"+01 403377-8475";Hanover
Angela;45;Luxembourg;794;"+1 920　235
9631";Handan
Shauna;3;Jersey;527;(525) 952-5827;Santa Cruz de la Sierra
Inga;4;Guinea;490;+1 295 286᠎2392;Makassar
Annaliese;17;Argentina;382;(103) 125 7152;Miami
Philis;53;Syrian Arab Republic;125;+1651) 882 9552;Omdurman
Gratia;52;Libyan Arab Jamahiriya;955;823) 700 2020;Brisbane
Orsola;9;Guernsey;946;(140	974-5158;Campinas
Nikki;8;Uzbekistan;224;499606 9511;Port Hedland
Veda;25;Antigua and Barbuda;117;"+01 (250﻿441	2875";Lviv
Valli;54;Croatia;21;(336)763 7402;Valparaíso
Corry;20;Italy;388;+1 788019 8643;Port Hedland
Winny;49;Djibouti;660;610.890 1289;Nizhny Novgorod
Charmaine;26;Papua New Guinea;871;894)355 4746;Oklahoma City
Ekaterina;54;Saint Helena;834;+1	(301 714.6381;Nagoya
Sharai;24;Zambia;842;097)᠎240.1473;Lahore
Zondra;1;Gibraltar;629;+1(357 525　7482;Da Nang
Olwen;11;Puerto Rico;229;303) 641	6020;Cartagena
Lindie;33;Djibouti;471;+01(158) 670 1365;Praia
Kirbee;1;Austria;600;+1 (423) 400᠎3215;Asmara
Britte;36;British Indian Ocean Territory;39;"+1(568
327﻿6694";Rome
Letizia;43;Kenya;623;+1 (819 255 3299;Paramaribo
Rani;52;France;797;(045 782 2366;Nukus
Queenie;43;Malaysia;875;+01 209) 107 6540;Ashgabat
Cecile;34;Tokelau;953;"+1﻿(553 089　8204";Columbus
Paule;21;Korea, Republic of;732;+1 804	783.0022;Melekeok
Laurene;4;"Lao People""S Democratic Republic";639;906) 166 6969;Marrakech
Celisse;54;Ukraine;728;(791) 627 1376;Kabul
Cassondra;31;Singapore;269;359.556 3517;Paramaribo
Annora;57;Mauritania;386;"+01 255984
4322";Majuro
Robbi;20;Slovakia;876;"537) 371
4104";Boston
Teddie;44;Lebanon;34;+01 729)-888 2396;Phnom Penh
Rosabelle;29;French Polynesia;762;+01	282792᠎7501;Mbabane
