name;age;country;building_code;phone;address
Cyndie;43;French Guiana;341;(630)409 4985;Petropavlovsk-Kamchatsky
Andeee;7;Congo;139;+1᠎(137) 024᠎7494;Kansas City
Shandie;34;Hungary;504;+01 870) 822	4175;Edmonton
Lilith;23;New Caledonia;534;670)681 5742;Lobamba
Rosene;7;French Guiana;179;+01 (218) 351 5053;Denpasar
Aimil;55;Canada;756;235-776 4105;Nizhny Novgorod
Carol-Jean;33;Germany;460;+1 (6433450507;Chihuahua
Janenna;50;Syrian Arab Republic;387;+1 (951 270 1571;Kabul
Barbara;32;Australia;562;(720 169 9851;Sitka
Agnese;11;Chile;884;(866)-893 4745;Seattle
Gretal;6;Gabon;51;036) 150 4020;Aarhus
Fanny;29;Marshall Islands;564;+1 422) 487 2802;Batticaloa
Cacilie;38;Saint Pierre and Miquelon;556;+1 (879) 313 7994;Bilbao
Lorne;33;Virgin Islands, U.S.;496;+01 375 023 7580;Adana
Sonni;2;Ethiopia;503;172) 562 0291;Edinburgh
Ulrike;57;Kenya;948;+01 726) 362᠎3268;Apia
Konstance;52;Uruguay;456;862 344 1202;Buffalo
Arlena;7;Namibia;60;+1 194).710.9324;Siem Reap
Genovera;1;Austria;875;"+1
(453 127
6166";Tampa
Berget;1;China;111;(746 885.8813;Majuro
Olwen;58;Finland;84;(400 109 6422;Port of Spain
Letizia;24;Heard Island and Mcdonald Islands;433;"+1 738
826 9769";N'Djamena
Christian;3;Benin;230;778-1779818;Agartala
Annaliese;60;Serbia and Montenegro;715;+1	817) 8590994;San Diego
Carlie;38;Niger;224;+1	(752) 610	6078;Bratsk
Rubie;25;Mauritius;82;"+1	532)
082 6871";Perth
Vivia;21;Turks and Caicos Islands;114;"+1﻿543) 675	1181";Sapporo
Kirstin;24;Montserrat;855;"+01
100 776᠎5246";Manama
Sissy;35;Seychelles;672;+01 632 578 9322;Rabi Island
Jenda;35;Bhutan;629;(518　701 5104;Berlin
June;41;Greenland;765;298) 163	2035;Phoenix
Veda;7;Maldives;922;+01(890 563-3222;Lanzhou
Margalo;45;Gambia;798;+1 (559) 342 8636;Rome
