name;age;country;building_code;phone;address
Ilse;28;Japan;394;8348016217;Oklahoma City
Dawn;12;Guinea;316;0967878270;South Tarawa
Gloria;56;Saint Kitts and Nevis;419;1544357957;Serekunda
Meghann;57;Croatia;566;7290547247;Jacksonville
Catrina;53;Afghanistan;289;7807991283;Ushuaia
Randa;54;Montserrat;76;3858277230;Port Said
Netty;43;Iceland;413;9744949859;Yakutsk
Ariela;1;Thailand;367;3740958967;Buenos Aires
Bobbi;27;Czech Republic;411;6741724794;Pekanbaru
Chere;38;Cayman Islands;473;3958180822;Bergen
Christy;56;Bahamas;899;8177144779;Yaren District
Agathe;44;Guinea;123;7789223427;Pontianak
Maryellen;41;Saint Vincent and the Grenadines;210;7522234117;Beirut
Rosene;24;Burundi;782;5969942911;Monrovia
Sheree;35;Guinea;697;2318793445;Kathmandu
Penelopa;3;Congo, The Democratic Republic of the;160;2398241248;Kyoto
Gavrielle;60;Solomon Islands;399;8407433833;Wonsan
Wendi;49;American Samoa;614;8939512757;Cannes
Ulrike;59;Georgia;57;1129150908;Campinas
Margalo;46;Pitcairn;78;4127919559;Antananarivo
Phylis;46;New Zealand;851;1907096551;Greenwich
Sashenka;45;Solomon Islands;328;0460441463;Zagreb
Justinn;28;Guernsey;150;9265088422;Kuwait City
Ardeen;33;Tunisia;460;3386579855;New York City
Layla;11;Viet Nam;654;2073501973;Phuket (city)
Nariko;32;Central African Republic;960;3882614464;Port Elizabeth
Xylina;40;Seychelles;256;1696597390;St. Louis
Gratia;31;Azerbaijan;275;0360198963;Tartu
Glynnis;6;Palestinian Territory, Occupied;448;4078501939;Iqaluit
Nerta;16;Jersey;12;8538346412;Tianjin
Mara;20;Greenland;886;9728512737;Atlanta
Ada;19;Grenada;974;7484644334;Quezon City
Evita;42;Malaysia;369;6983450964;Mashhad
Deedee;33;Viet Nam;851;1117505352;Quebec City
Blondelle;49;Burundi;933;5439678327;Mexicali
Noelle;18;Norfolk Island;848;0130945765;Chicago
Lilith;7;Japan;61;4224758005;Majuro
Fawne;19;Guernsey;248;1780323399;Malabo
Willetta;19;Benin;522;2631665682;San Juan
Kassey;36;Ethiopia;690;3355976985;Barranquilla
Ardenia;23;Aruba;954;3000298038;Ouagadougou
Wendi;10;San Marino;456;7284559324;Detroit
Henriette;48;Congo, The Democratic Republic of the;365;8774363783;Portland
Belva;51;Ghana;121;6468850112;Rabat
Karolina;35;Sudan;164;6729100604;George Town
Valera;56;South Africa;599;3458441247;Adak
Desirae;29;Iran, Islamic Republic Of;924;0972000752;Kobe
Cassandra;32;Barbados;956;4520907373;Bridgetown
Christal;43;Bouvet Island;307;9140250517;Kota Kinabalu
Gusty;47;Montserrat;282;9981419875;Bern
Jean;17;Lesotho;128;4922741841;Dammam
Shell;4;Bhutan;175;1276901348;Adelaide
Emilia;27;Myanmar;97;8235767913;Tijuana
Halette;20;Poland;278;4073685941;Chicago
Netty;42;Mongolia;347;0204815374;Santa Cruz de Tenerife
Mignon;52;Bahamas;47;7489983649;Tokyo
Lesly;59;Niue;140;9400082980;Gaza
Mamie;8;Saint Pierre and Miquelon;437;1728353879;Shillong
Ebonee;23;Tanzania, United Republic of;126;5040952096;Luxembourg (city)
Nickie;31;Niue;420;8168060773;Saint John
Marnia;4;Reunion;937;7804092841;Melekeok
Devina;3;Ghana;368;8327351356;Konya
Kore;57;Swaziland;13;0284950309;Manama
Loree;24;Trinidad and Tobago;858;3712092672;Dublin
Constance;56;"Lao People""S Democratic Republic";632;5366122392;Dresden
Farrah;50;Mauritius;262;2929372454;Calama
Oralee;22;United Arab Emirates;527;3535979483;Sabha
Janeczka;46;Azerbaijan;568;2969453276;The Hague
Molli;14;Åland Islands;950;9493033255;Athens
Chere;1;Zambia;314;7012607771;Accra
Aaren;2;Myanmar;374;3068438248;Ponta Delgada
Codie;38;Chile;8;8903984200;Tskhinvali
Nyssa;45;Jamaica;878;8029020964;Las Vegas
Netty;29;Lithuania;322;2084233491;St. John's
Yetty;36;Viet Nam;519;9652872507;Graz
Teriann;35;Suriname;590;1804964306;Funafuti
Sara-Ann;57;Turkey;165;4177176020;Tashkent
Teddie;23;Mongolia;479;4665888069;Nouméa
Adore;23;Uganda;32;0357583478;Cleveland
Sabina;58;Croatia;575;2855019942;Salzburg
Ezmeralda;31;Lithuania;435;2297587923;Bishkek
Philis;16;Haiti;227;8353501266;Malabo
Cissiee;25;Kyrgyzstan;9;1663798999;Bloemfontein
Leanna;31;Swaziland;923;0842474058;Indianapolis
Ottilie;18;Sri Lanka;852;5423974995;Seattle
Andeee;26;Mali;35;1461244380;Cleveland
Myrtice;2;Malawi;219;4801317411;Guadalajara
Noelle;16;Jordan;675;5422611337;Cotonou
Sibella;29;Pakistan;273;9569208276;St. Louis
Ingrid;43;Georgia;565;7561797390;Bangui
Karina;34;Comoros;491;1192704983;Tel Aviv
Jillayne;8;Benin;95;7526611147;Bursa
Cathie;55;Syrian Arab Republic;900;2683499913;Apia
Merrie;29;Ethiopia;108;5158366180;Memphis
Ashlee;53;Kuwait;494;2929994820;Dublin
Adriana;59;Cape Verde;391;9665287572;Chennai
Bertine;48;Viet Nam;569;7181728362;Rawalpindi
Addia;60;Botswana;108;0480215309;Anchorage
Joelly;57;Bolivia;394;5242249105;Guadalajara
Bertine;5;Gibraltar;303;2884574206;Yaren District
