name;age;country;building_code;phone;address
Roberta;21;Poland;232;+1	(822) 858 2289;Cairns
Kathi;30;Czech Republic;478;(439) 558᠎5468;Lobamba
Krystle;4;Christmas Island;979;+01 (928) 170　5994;Busan
Livvyy;20;Guernsey;319;918)-773 2292;Macapá
Kore;28;Macedonia, The Former Yugoslav Republic of;165;+01 979 441 2749;Xi'an
Susan;31;Norfolk Island;445;755) 356 8759;San Fernando
Bobbi;17;Lesotho;236;(038-364 9513;Saint Petersburg
Ursulina;20;Bulgaria;140;+1 288583.1115;Makassar
Ardeen;19;Portugal;205;+1 (721) 874 4043;Shenzhen
Shannah;49;Iran, Islamic Republic Of;338;+01 (095) 852　5918;Zanzibar City
Nananne;40;El Salvador;187;+1 (540　322 4517;Saint John
Rhea;26;Hong Kong;887;(570) 370 7695;Lahore
Lulita;53;Niger;305;(329) 121 6575;Douglas
Althea;38;Sudan;680;043 365　4664;Bern
Emma;43;Hungary;976;+1 791) 690 8699;Salt Lake City
Myriam;60;Iran, Islamic Republic Of;207;"010)923 8568";Tallinn
Stacey;20;Belgium;118;+01 169 754 1703;Edinburgh
Charlena;46;Malta;571;"+1﻿(463 894 6860";Dallas
Ofilia;42;India;23;+1 (159) 629　7401;Mecca
Lynde;24;Kuwait;368;807)	509 1525;Cardiff
Debee;3;Latvia;732;+01 (974-595 3503;Francistown
Corly;26;Zambia;594;782) 360 8655;Cayenne
Daune;53;New Zealand;275;+01 (304 509 3604;Bulawayo
Jenda;19;Viet Nam;177;(102 388 7697;Bissau
Dyann;7;Greenland;616;+01 692) 984 5953;Vaduz
Feliza;12;Somalia;659;"442671 4820";Baku
Sonni;39;Bolivia;794;(588-886 2574;Rochester
Aurelie;36;Oman;330;184 576 1828;Baku
Max;14;Antarctica;244;+01 (523 771 5742;Colombo
Bill;22;Puerto Rico;850;+01(211)-931-5661;Thessaloniki
Gwyneth;21;Jordan;417;+01895)　261 4727;Bern
Max;56;Indonesia;851;+01᠎(213) 537 2328;Leipzig
Meriel;28;Cambodia;344;(775) 5068498;Geelong
Morganica;44;Malawi;770;(161 455 2373;Ibiza
Sissy;21;Lebanon;273;(109 735 9185;Fairbanks
Lynde;37;Moldova, Republic of;858;(766) 432 6042;Ottawa
Gui;26;Finland;421;697 925 3538;George Town
Dorice;15;Turkmenistan;626;"+1 (341
795 0345";Harbin
Allis;38;Congo;33;+01 003) 726 8645;Barcelona
Dorthy;39;Aruba;804;"+1﻿(204) 926-6316";Kandy
Chandra;38;Cyprus;793;+01　(685) 907-4999;Dushanbe
Marti;60;Austria;832;"+01﻿(367 430 2461";Innsbruck
Rosene;10;Bermuda;838;+01 (603 477 6901;Chiang Mai
Paulita;31;Antigua and Barbuda;453;+1 (679 502 6301;Lucknow
Nariko;43;Macedonia, The Former Yugoslav Republic of;201;(573 5925825;Dongguan
Nonnah;27;Jordan;594;"(061)﻿805 2665";Athens
Kellen;34;Faroe Islands;419;(028)᠎369	7105;Kingston
Ninnetta;29;Falkland Islands (Malvinas);382;+1	234) 683 2541;Maseru
Nannie;35;Croatia;569;115) 7019069;Philadelphia
Esmeralda;40;Ghana;300;+1 (939)᠎978 2402;Memphis
Bertine;29;Bangladesh;409;"823)﻿145 7481";Hanover
Rivalee;31;United Arab Emirates;821;(262 051 1018;Antwerp
Brietta;21;"Lao People""S Democratic Republic";231;+1316 366 4231;Perm
Felice;32;Vanuatu;518;+1 098 568-4328;Vitória
Eve;3;Ghana;828;(556) 988 9439;Accra
Bobinette;55;Belize;549;+01 (059) 868 2689;Istanbul
Kathi;8;Mayotte;700;"(105210.3677";Honiara
Adelle;47;French Polynesia;398;(741) 655 5679;Iquitos
Julieta;37;Bangladesh;875;(623 471 2675;Hiroshima
Tatiania;17;Greece;649;(222᠎5915376;Luxembourg (city)
Mildrid;19;Jordan;71;(773 787 4793;Indianapolis
Alyssa;24;Antarctica;704;610)	697-4221;Sana'a
Demetris;32;France;278;"+1 (250957　1391";Shillong
Sidoney;27;Falkland Islands (Malvinas);420;+1 054 829᠎4143;Darwin
Siana;57;Brunei Darussalam;369;+1 (530) 063 9397;Ljubljana
Cacilie;44;Netherlands;480;254) 626 3530;Tórshavn
Edyth;48;Bhutan;437;+01 612-144᠎8193;Johor Bahru
Correy;15;Papua New Guinea;688;"736 960
6558";Mashhad
Deirdre;50;Czech Republic;200;583 353	2714;Helsinki
Joy;43;Spain;458;(740) 718 0011;Charlottetown
Thalia;22;Iceland;729;203 048 2849;Bratislava
Hallie;32;Philippines;333;+1 668 722 1312;Santo Domingo
Moyna;7;Bulgaria;230;(209)᠎180 0932;Columbus
Dawn;7;Gabon;868;+1 578)	103᠎2403;Fort-de-France
Caritta;41;Honduras;251;+01 (355622-2843;Dubai
Lita;54;Jordan;773;(661) 8802190;Edinburgh
Madeleine;38;Jersey;392;+1 (549) 4800412;Cali
Elyssa;10;Pitcairn;733;634 612 6129;Palembang
Brietta;34;Cocos (Keeling) Islands;362;"963 416
9113";Amritsar
Arlina;48;Egypt;439;+1(200) 984 0012;Yellowknife
Jean;53;Lesotho;519;(288 696 4839;Paramaribo
Mamie;30;Finland;69;(315 682 6846;Da Nang
Valli;20;India;691;241 105 2969;Livingstone
Joy;3;Kiribati;651;+1 (275 537 0634;Pyongyang
Perry;13;Cameroon;778;"+01
723 964 1229";Wonsan
Mallory;56;Jordan;150;"+1
(290)﻿098
4302";Sydney
Ruthe;38;Bouvet Island;601;694) 693 9401;Amritsar
Aigneis;41;Estonia;270;+1 (617 942 8624;Manzini
Rayna;43;Switzerland;360;"+01 549　138
8921";İzmir
Ayn;22;Thailand;988;+1 (908-557	5570;Leipzig
Alia;25;Pitcairn;390;"(643	208﻿1554";Multan
Madeleine;22;Niue;75;"+01 236043.1321";Adelaide
Averyl;59;Peru;308;552 064 2813;Winnipeg
Rhoda;18;United States Minor Outlying Islands;666;"(825 3553717";Serekunda
Heddie;18;United States Minor Outlying Islands;846;"+01276)
362.4860";Da Nang
Cordi;39;Sao Tome and Principe;494;+1 503 391-5505;Warsaw
Julieta;25;Monaco;250;+01 (243)4759331;Gaborone
Gwyneth;30;Switzerland;236;(716484 7001;Geelong
Doro;39;Myanmar;789;"(565)﻿473 8650";Budapest
Fayre;35;Czech Republic;769;"+1	(630) 368﻿9781";Quezon City
