name;age;country;building_code;phone;address
Pamella;4;Kyrgyzstan;540;"(847
799 0992";Turin
Pollyanna;28;Luxembourg;153;+1 (453) 525 9401;Bratsk
Sharlene;10;Qatar;891;+01 753) 998᠎1224;Belmopan
Sue;28;Brazil;464;+1	571) 556 4437;Asunción
Nikki;58;Indonesia;23;"(562)520 1236";Stuttgart
Christian;37;Guam;399;"+01
(973᠎645	3076";Havana
Karlee;28;Norfolk Island;3;"+01 (352
841 3826";Edmonton
Allyce;56;Ukraine;840;311951 3091;Xi'an
Maridel;14;Eritrea;471;(252	747 5987;Adak
Ottilie;47;Holy See (Vatican City State);255;(895 336 7550;Iloilo City
Jessy;49;United Arab Emirates;32;"999) 942﻿0557";Dresden
Celene;25;"Korea, Democratic People""S Republic of";458;(752 0796170;Málaga
Maisey;41;Azerbaijan;7;(041 984 5500;Pune
Gratia;49;India;40;"+1 660889 3881";Harbin
Cherrita;5;Korea, Republic of;739;+01	972)　667 6025;Amsterdam
Feliza;31;Cambodia;942;+01 (186) 616 8513;Maracaibo
Cyb;60;Cyprus;171;+1 (415) 123 0751;Nicosia
Fred;47;Solomon Islands;232;"+01250) 743 8750";Saipan
Sarette;48;Monaco;836;872 027　9013;Anadyr (town)
Tierney;29;Viet Nam;119;473 452　4231;Punta Arenas
Kellen;36;Kuwait;275;+01 137) 640 9806;Freetown
Alyda;23;Palau;150;+1 (916)-553 0316;Kawasaki
Merrie;43;French Polynesia;239;(880 963᠎5491;Wuhan
Rosabelle;32;New Zealand;995;528) 859 1432;Málaga
Tierney;42;Hungary;8;"+1 (988)882.6585";Strasbourg
Marylou;33;Thailand;599;"607﻿219 7447";Baku
Tori;57;Slovenia;962;+01 658) 105 8452;Freetown
Giustina;25;Czech Republic;517;+01 780) 098᠎5622;Munich
Genevra;26;Mongolia;458;(889 874 9570;Faisalabad
Sarette;12;Jamaica;131;+1 480) 779 4952;Chihuahua
Joleen;7;Comoros;188;(397 706 1197;Columbus
Margalo;48;Antigua and Barbuda;446;+01᠎821 6757612;Shillong
Morganica;51;Anguilla;29;476 621 7691;Cockburn Town
Madeleine;5;Paraguay;385;748154 9879;Magadan
Orelia;45;Turkmenistan;77;912 834 6574;St. John's
Nelle;57;Turkey;414;"+1
(264 517 8672";Malang
Janenna;6;Bermuda;712;+01 (303᠎445 6991;Vancouver
Basia;2;Myanmar;735;(509191 9446;Oranjestad
Blake;47;Guyana;251;"+1	121
9408495";Dubai
Maud;48;India;184;960)8601381;Quezon City
Christian;37;Christmas Island;77;"024944 2820";Hargeisa
Tori;16;Maldives;110;+01 (221) 151 0072;Johor Bahru
Ronna;52;Honduras;995;"346
417 2490";Aberdeen
Aryn;7;Austria;222;"+01
249 172 8096";Chongqing
Elie;25;Cook Islands;27;"+1
(742) 900 1437";Cologne
Bernie;18;Cuba;3;"+01﻿(050) 573 9036";Majuro
Jacenta;21;Montserrat;646;+01(164) 920 3446;Bogotá
Amelia;55;Saint Vincent and the Grenadines;906;267) 738 8386;Munich
Nollie;12;Haiti;814;780.756-8613;Da Nang
Kylynn;29;Samoa;764;"+01 (128)005 1065";Kunming
Merle;48;British Indian Ocean Territory;332;+01 (100) 448 1860;Bogotá
Britte;33;Macedonia, The Former Yugoslav Republic of;963;(115 013 0998;Yangon
Blondelle;25;Samoa;465;+01 880) 416 2267;Port Blair
Brana;34;RWANDA;2;+1	634) 867 2741;Muscat
Chandra;8;Ukraine;392;+1 376 590 3236;Kota Kinabalu
Lynea;14;Fiji;943;495) 4507962;Naypyidaw
Olwen;47;Burkina Faso;356;"+1 (454	095
0941";Strasbourg
Amii;19;Mexico;503;(444 675 3915;Hanga Roa
Netty;32;Sudan;839;609)-026 3754;Tampa
Millie;31;Dominica;950;076) 144 0072;Kano
Fidelia;25;Sierra Leone;782;586	231	7639;New Orleans
Kary;33;Peru;501;+1 (815) 453 8389;Luxembourg (city)
Keelia;21;Thailand;920;(230661　6996;Mérida
Vevay;37;Russian Federation;556;+01 144 823 2853;Kolkata
Charlena;3;Bahrain;577;+01 (524) 722.7361;Cayenne
Madeleine;11;Tonga;820;+1 (334 910 6689;Wollongong
Christy;59;Wallis and Futuna;977;+1　(802)993 5785;Nizhny Novgorod
Jillayne;4;Afghanistan;936;+01 (628 9147479;Gangtok
Asia;40;Malawi;832;+1	(707) 746 1111;Chiang Mai
Aurore;11;Lithuania;691;(368) 782 9205;Kota Bharu
Andeee;5;Czech Republic;349;995509 9030;Curitiba
Tatiania;34;Moldova, Republic of;837;+01 702 185᠎2417;New Delhi
Riannon;34;Luxembourg;242;(235882	9625;Almaty
Flo;33;Palau;14;+01 (169 129 9618;Raleigh
Wileen;27;Puerto Rico;575;600 515 6471;Graz
Jinny;40;Netherlands Antilles;855;"+1﻿(032) 498 6523";Hobart
Andree;25;Trinidad and Tobago;61;+1 (860)158 0992;Suez
Nataline;15;Eritrea;448;(463)356 9388;Kingstown
Ann-Marie;16;Tajikistan;488;090)᠎489-5095;Davao City
Lonnie;25;Djibouti;884;632) 661 3030;Yerevan
Marcy;26;Vanuatu;654;"064)8366100";Bandar Seri Begawan
Daryl;38;Namibia;913;+01 (304).653 2926;Sacramento
Ardeen;49;Saudi Arabia;796;(297) 236 1661;Hamilton
