name;age;country;building_code;phone;address
Laure;5;Serbia and Montenegro;34;6122024402;Bergen
Marcy;20;Guadeloupe;774;2639194186;Palikir
Janis;3;Belgium;301;8610825617;Palma
Julieta;43;Taiwan, Province of China;42;7806614049;Nicosia
Ardenia;3;Philippines;845;6975975407;Baku
Rivalee;9;Venezuela;301;8571597880;Surat Thani
Madelle;7;Chad;662;0346462947;Skopje
Thalia;15;Pakistan;902;3028588922;Majuro
Ruthe;39;"Cote D""Ivoire";872;4329753868;Warsaw
Emelina;20;Lesotho;139;7341166551;Valencia
Cyndie;60;Burkina Faso;651;3448760983;Mashhad
Siana;46;Mayotte;78;6097224490;Sana'a
Susette;53;Brunei Darussalam;787;7281167660;Ndola
Kial;52;Spain;565;8970053098;Amsterdam
Cathie;16;Czech Republic;585;8310110776;Tianjin
Anallese;27;Lithuania;830;7438451001;Auckland
Shannah;29;Angola;821;8248623978;Johor Bahru
Bibby;52;Guyana;764;2642928613;Malmö
Deane;58;Lebanon;657;1892318412;Jersey City
Annecorinne;17;Ukraine;349;4389414021;Muscat
Cordi;5;Suriname;867;7966754315;Canberra
Cristine;46;Lebanon;735;3277588839;Kathmandu
Viki;44;Cayman Islands;57;2755868165;Chengdu
Jorry;37;Canada;443;0983589865;Belfast
Ardenia;35;Iceland;741;0566132590;Daegu
Ottilie;14;Canada;285;5646796011;Brazzaville
Helena;45;Pakistan;709;8367804534;Port-au-Prince
Nadine;35;Pitcairn;233;7163297417;Abuja
Leona;59;Cyprus;133;7724881244;Murmansk
Dorothy;1;American Samoa;805;3694843065;Recife
Merry;14;Italy;562;9329999020;Bahía Blanca
Darlleen;36;United States;911;3898981154;Porto
Fredericka;37;Guadeloupe;166;7963434139;Kobe
Ursulina;31;Georgia;482;1307203266;Forked River
Heida;58;Haiti;335;0902186998;Tirana
Theodora;59;Mongolia;384;5103699506;Malmö
Darlleen;17;Costa Rica;447;0900692248;Huế
Norine;55;Viet Nam;743;2956747265;Sarajevo
Marline;20;Latvia;111;4791825252;Tallinn
Jemie;36;Macao;809;0854380024;Nanjing
Lesly;33;Slovakia;177;5238779511;Harare
Wileen;3;Guyana;809;8716317667;Louisville
Hannis;20;Armenia;496;4908337816;Ilhéus
Betta;60;"Cote D""Ivoire";839;3730911497;Omsk
Sonni;50;Antarctica;536;4933738776;São Paulo
Lexine;53;Northern Mariana Islands;841;1163719056;Lilongwe
Lulita;56;Congo, The Democratic Republic of the;204;6908106217;Peshawar
Cam;20;Kyrgyzstan;836;8460777024;Omsk
Nananne;51;Brazil;393;8245651381;Livingstone
Nikki;56;Somalia;413;2908215867;Sydney
Lonnie;50;Timor-Leste;737;0478554270;Weno
Annabela;51;Swaziland;562;6809343424;Córdoba
Roxane;38;Estonia;237;4159293703;Hanoi
Etta;10;Croatia;589;6755324103;Ankara
Donetta;14;New Zealand;545;4215520071;Aberdeen
Mathilda;32;Netherlands;829;6942154920;Seoul
Cathyleen;53;Georgia;904;4719386102;Gangtok
Fred;41;Tunisia;415;3888061785;Sydney
Camile;43;Syrian Arab Republic;932;3544849683;Oslo
Carmela;30;Botswana;886;3497501349;Minsk
Ebonee;31;Norfolk Island;535;0436326163;Ipoh
Maridel;7;Niger;249;5541463945;Guwahati
Marcy;57;Cambodia;754;9779923502;Dededo
Rubie;33;Djibouti;363;5355473985;Gold Coast
Marita;10;Swaziland;999;1576664214;Arbil
Chere;1;Turkey;332;1728241022;Cork (city)
Barbi;44;British Indian Ocean Territory;444;3640826533;Port Blair
Charissa;7;Ecuador;126;8007837787;Chişinău
Inga;38;Uganda;131;5087259865;Valdivia
Chastity;8;Gibraltar;614;8093005343;Lilongwe
Nataline;4;Croatia;956;5309927552;Barranquilla
Nerta;58;Uganda;247;1159117114;Medellín
Doro;31;Tunisia;631;3551762874;Dededo
Yvonne;40;Palau;541;8258384080;Hai Phong
Sallie;39;Niue;817;3155557153;Chongjin
Nollie;28;Malta;113;6588238139;Addis Ababa
Coral;41;Gibraltar;426;3767615301;Campinas
Ethel;24;Somalia;721;3540403831;Rio de Janeiro
Kamilah;3;Albania;214;7652287993;Samara
Krystle;36;Uruguay;97;5060803892;Tianjin
Ariela;55;Cambodia;259;6663133506;Libreville
Beverley;35;Hong Kong;504;3111919838;Boston
Siana;29;Paraguay;64;2645068563;Zürich
Marleah;10;Turkey;928;1616696753;Tallinn
Leia;53;Hong Kong;99;1128957247;Guwahati
Mariann;31;Kazakhstan;749;3873683630;Kingstown
Sabina;24;Italy;841;9818874145;St. John's
Lynea;6;Belarus;268;7044605690;Tijuana
Flory;56;Iraq;697;3547854129;Austin
Lusa;14;Algeria;33;9121566513;Almaty
Cherilyn;7;Malaysia;507;7289876240;Vatican City
Kathy;8;Italy;760;9473371147;Belgrade
Korrie;31;Germany;178;1841893661;Chongqing
Esmeralda;36;Antigua and Barbuda;844;0026098858;Dededo
Thalia;7;Zimbabwe;521;8805652691;Birmingham
Kalina;38;Italy;255;0055363792;Manila
Gwenneth;54;Ireland;909;1966985830;Providence
Karly;56;San Marino;444;3215458703;Riga
Kaja;23;Macedonia, The Former Yugoslav Republic of;537;6880066402;Chongqing
Marika;20;Gabon;834;0060631374;Chennai
