name;age;country;building_code;phone;address
Binny;12;Guernsey;189;+1 196) 584 6018;Adak
Roseline;4;Pitcairn;133;"+1 212)﻿935᠎4934";Ashgabat
Catrina;8;Liechtenstein;468;+1 (646) 426　4573;Chaguanas
Maryellen;40;Marshall Islands;36;+1᠎740-5716185;Islamabad
Lolita;26;Northern Mariana Islands;184;+1　546) 626 1545;Lomé
Caritta;34;Macao;937;(465 648 7769;Montreal
Briney;34;Cyprus;496;+1(958) 269-6968;Boston
Jan;5;Sudan;673;+01 747) 537 5101;Newcastle
Basia;13;Samoa;129;+1 342) 647　6973;Hamilton
Felice;37;Colombia;352;+01 589) 689 8734;Mersin
Aurore;60;Iran, Islamic Republic Of;724;+1 (078) 9777726;Hanover
Wileen;32;Kiribati;606;+1 (541 872　8991;Nashville
Beatriz;32;Chad;274;+01 997) 331᠎7741;Antwerp
Olivette;50;Liberia;236;+1 (546᠎993 4950;Belmopan
Eadie;41;Guinea-Bissau;926;+01 020)	849 9734;Veracruz
Michaelina;46;Christmas Island;645;965)	637	1416;Copenhagen
Yolane;21;Guinea;994;820) 926 5344;Pago Pago
Frank;58;Sierra Leone;248;+01 (849-355 5407;San Salvador
Glenda;57;Azerbaijan;552;"660)387 4186";Bergen
Ivett;27;Panama;602;+1 (189 551 0016;Washington
Lizzie;16;Bolivia;697;(457).207 9045;Harbin
Deane;48;Puerto Rico;884;"+01 296190 4473";Innsbruck
Dulcinea;27;Myanmar;362;"192) 547﻿5149";Tbilisi
Adriana;31;Austria;243;"+1﻿(176453 3500";Manchester
Leeanne;29;Cook Islands;22;797 132 6098;Ndola
Bill;57;Algeria;236;+1 (127) 215 3945;Douglas
Maud;45;Greece;103;+01 (101.050	2076;Faisalabad
Angela;19;Turks and Caicos Islands;572;+1	178 437 5273;Pekanbaru
Marnia;7;Falkland Islands (Malvinas);901;"+01742)-150.5264";New Orleans
Micheline;9;Saudi Arabia;835;+1 057 356	8201;Samara
Rosene;34;Guinea-Bissau;448;+01	(333 338 7407;Townsville
Harmonia;48;Nauru;782;(862)538 5560;Cali
Vevay;30;Tuvalu;317;(291)-014 6129;Conakry
Ivett;14;Ecuador;83;+1 600) 362 1568;Minsk
Wanda;41;Belgium;353;+1 (974.927 4943;Iquique
Sarette;6;Cyprus;963;(493 257 7695;The Hague
Joane;5;Turkmenistan;332;857 846 4243;Mata-Utu
Sarette;23;South Georgia and the South Sandwich Islands;199;"+01
(294 388 2093";Darwin
Lynde;11;Guatemala;709;684)5814421;Gold Coast
Emelina;58;Christmas Island;801;964 661 7427;Mbabane
Lizzie;31;Cocos (Keeling) Islands;61;(080 210 1842;Yellowknife
Berget;21;Kyrgyzstan;465;(332 710 1106;Nakhon Ratchasima
Nollie;56;Ecuador;471;"(572
9349174";Vitória
Sam;9;Saint Helena;340;"+1 (757-2427238";Praia
Diena;49;Hungary;413;697)᠎397 7868;Surat
Donnie;29;Jordan;168;"+01 (9808531675";Dubai
Marguerite;16;Mexico;572;+1	729)825 2965;Faisalabad
Nataline;46;Moldova, Republic of;50;419) 203 3555;Vienna
Jorry;40;Guinea;879;+01 800) 885.6127;Zagreb
Robbi;8;Bulgaria;468;+1　(295 061 9599;Alofi
Melodie;12;Viet Nam;745;+01　(429	838 5579;Mumbai
Misha;59;Estonia;600;723-947 4961;Melekeok
